"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"argG"	"probable argininosuccinate synthase"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-arginine biosynthesis II (acetyl cycle)"	"growth" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process" // "argininosuccinate metabolic process" // "urea cycle"	"plasma membrane" // "cytosol" // "cytoplasm"	"ligase activity" // "ATP binding" // "argininosuccinate synthase activity" // "nucleotide binding"
"argH"	"argininosuccinate lyase subunit"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-arginine biosynthesis II (acetyl cycle)"	"protein homotetramerization" // "arginine biosynthetic process via ornithine" // "growth" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process"	"cytosol" // "cytoplasm" // "cell wall"	"lyase activity" // "argininosuccinate lyase activity" // "catalytic activity"
"arginine"	""	"amino acids"	""	""	""	""
"argJ"	"probable glutamate N-acetyltransferase"	"UNCLASSIFIED"	"L-arginine biosynthesis II (acetyl cycle)"	"growth" // "cellular amino acid biosynthetic process" // "metabolic process" // "ornithine biosynthetic process" // "arginine biosynthetic process"	"cytosol" // "cytoplasm"	"methione N-acyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "protein binding" // "glutamate N-acetyltransferase activity" // "acetyl-CoA:L-glutamate N-acetyltransferase activity" // "catalytic activity"
"argR"	"probable arginine repressor"	"UNCLASSIFIED"	""	"protein complex oligomerization" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process" // "arginine metabolic process" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol" // "cytoplasm"	"arginine binding" // "DNA-binding transcription factor activity" // "DNA binding"
"argS"	"probable arginyl-tRNA synthetase"	"UNCLASSIFIED"	"tRNA charging"	"growth" // "arginyl-tRNA aminoacylation" // "tRNA aminoacylation for protein translation" // "translation"	"plasma membrane" // "cytosol" // "cytoplasm"	"ligase activity" // "ATP binding" // "arginine-tRNA ligase activity" // "aminoacyl-tRNA ligase activity" // "nucleotide binding"
"argT"	"tRNA-Arg"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"argU"	"tRNA-Arg"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"argV"	"tRNA-Arg"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"argW"	"tRNA-Arg"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"aroA"	"3-phosphoshikimate 1-carboxyvinyltransferase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"plasma membrane" // "cytoplasm"	"transferase activity, transferring alkyl or aryl (other than methyl) groups" // "transferase activity" // "3-phosphoshikimate 1-carboxyvinyltransferase activity" // "catalytic activity"
"aroB"	"3-dehydroquinate synthase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "3-dehydroquinate biosynthesis I"	"growth" // "chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"metal ion binding" // "nucleotide binding" // "carbon-oxygen lyase activity, acting on phosphates" // "lyase activity" // "zinc ion binding" // "copper ion binding" // "3-dehydroquinate synthase activity"
"aroD"	"3-dehydroquinate dehydratase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"growth" // "chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol"	"lyase activity" // "3-dehydroquinate dehydratase activity"
"aroE"	"probable shikimate 5-dehydrogenase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"shikimate metabolic process" // "chorismate biosynthetic process" // "oxidation-reduction process"	"cytosol" // "cytoplasm"	"NADP binding" // "oxidoreductase activity" // "shikimate 3-dehydrogenase (NADP+) activity"
"aroF"	"probable chorismate synthase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"oxidation-reduction process" // "growth" // "chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol"	"NAD binding" // "lyase activity" // "oxidoreductase activity, acting on NAD(P)H" // "FMN binding" // "chorismate synthase activity"
"aroG"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "3-dehydroquinate biosynthesis I"	"protein homooligomerization" // "growth" // "chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol" // "plasma membrane" // "cell wall"	"catalytic activity" // "metal ion binding" // "manganese ion binding" // "transferase activity" // "protein binding" // "3-deoxy-7-phosphoheptulonate synthase activity"
"aroK"	"shikimate kinase"	"UNCLASSIFIED"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"growth" // "shikimate metabolic process" // "phosphorylation" // "chorismate biosynthetic process" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol" // "cytoplasm"	"metal ion binding" // "transferase activity" // "kinase activity" // "ATP binding" // "shikimate kinase activity" // "magnesium ion binding" // "nucleotide binding"
"arsA"	"probable arsenic-transport integral membrane protein ArsA"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "arsenite transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"arsenite transmembrane transporter activity"
"arsB1"	"probable arsenic-transport integral membrane protein ArsB1"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "arsenite transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"arsenite transmembrane transporter activity"
"arsB2"	"possible arsenical pump integral membrane protein"	"UNCLASSIFIED"	""	"arsenite transport"	"integral component of plasma membrane" // "integral component of membrane" // "membrane" // "plasma membrane"	"arsenite transmembrane transporter activity"
"arsC"	"probable arsenic-transport integral membrane protein"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "arsenite transport" // "antimonite transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transporter activity" // "antiporter activity" // "arsenite transmembrane transporter activity" // "antimonite transmembrane transporter activity" // "inorganic anion transmembrane transporter activity"
"AS1726"	"Putative small regulatory RNA"	"RNA related"	""	""	""	""
"AS1890"	"Putative small regulatory RNA"	"RNA related"	""	""	""	""
"asd"	"aspartate-semialdehyde dehydrogenase"	"UNCLASSIFIED"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-lysine biosynthesis I" // "L-homoserine biosynthesis"	"'de novo' L-methionine biosynthetic process" // "oxidation-reduction process" // "growth" // "diaminopimelate biosynthetic process" // "pathogenesis" // "isoleucine biosynthetic process" // "lysine biosynthetic process via diaminopimelate" // "threonine biosynthetic process" // "methionine biosynthetic process" // "lysine biosynthetic process" // "cellular amino acid biosynthetic process" // "cellular amino acid metabolic process"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"NAD binding" // "NADP binding" // "protein dimerization activity" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "protein binding" // "aspartate-semialdehyde dehydrogenase activity" // "N-acetyl-gamma-glutamyl-phosphate reductase activity"
"ASdes"	"Putative small regulatory RNA"	"RNA related"	""	""	""	""
"ask"	"aspartokinase"	"UNCLASSIFIED"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-lysine biosynthesis I" // "L-homoserine biosynthesis"	"homoserine biosynthetic process" // "growth" // "diaminopimelate biosynthetic process" // "phosphorylation" // "lysine biosynthetic process via diaminopimelate" // "threonine biosynthetic process" // "lysine biosynthetic process" // "cellular amino acid biosynthetic process"	"cytoplasm" // "cytosol" // "plasma membrane" // "cell wall"	"transferase activity" // "kinase activity" // "ATP binding" // "aspartate kinase activity" // "nucleotide binding"
"asnB"	"probable asparagine synthetase"	"UNCLASSIFIED"	"L-asparagine biosynthesis I" // "L-glutamine degradation I" // "superpathway of L-asparagine biosynthesis" // "L-asparagine biosynthesis II"	"L-asparagine biosynthetic process" // "growth" // "cellular amino acid biosynthetic process" // "glutamine metabolic process" // "asparagine biosynthetic process"	"plasma membrane" // "cytosol" // "extracellular region"	"ligase activity" // "ATP binding" // "asparagine synthase (glutamine-hydrolyzing) activity" // "nucleotide binding"
"asnT"	"tRNA-Asn"	"tRNA"	"tRNA charging" // "L-asparagine biosynthesis III (tRNA-dependent)" // "tRNA processing"	""	""	""
"asparagine"	""	"amino acids"	""	""	""	""
"aspartate"	""	"amino acids"	""	""	""	""
"aspB"	"possible aspartate aminotransferase"	"UNCLASSIFIED"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-aspartate biosynthesis" // "L-aspartate degradation I" // "L-phenylalanine biosynthesis I"	"biosynthetic process"	"cell wall"	"pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "catalytic activity"
"aspC"	"probable aspartate aminotransferase"	"UNCLASSIFIED"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-aspartate biosynthesis" // "L-aspartate degradation I" // "L-phenylalanine biosynthesis I"	"growth" // "biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"L-phenylalanine:2-oxoglutarate aminotransferase activity" // "pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "L-aspartate:2-oxoglutarate aminotransferase activity" // "catalytic activity"
"ASpks"	"Putative small regulatory RNA"	"RNA related"	""	""	""	""
"aspS"	G185E-6814-MONOMER	"UNCLASSIFIED"	"L-asparagine biosynthesis III (tRNA-dependent)"	"aspartyl-tRNA aminoacylation" // "tRNA aminoacylation for protein translation" // "translation"	"cytosol" // "cytoplasm" // "cell wall"	"aspartate-tRNA ligase activity" // "aspartate-tRNA(Asn) ligase activity" // "ligase activity" // "ATP binding" // "aminoacyl-tRNA ligase activity" // "nucleic acid binding" // "nucleotide binding"
"aspT"	"tRNA-Asp"	"tRNA"	"tRNA charging" // "tRNA processing"	""	""	""
"ATP proton motive force interconversion"	""	"energy metabolism, carbon"	""	""	""	""
"atpA"	"probable ATP synthase alpha chain"	"UNCLASSIFIED"	""	"electron transport chain" // "response to oxidative stress" // "cation transmembrane transport" // "ATP metabolic process" // "growth" // "proton transmembrane transport" // "ATP synthesis coupled proton transport" // "ion transport" // "ATP biosynthetic process"	"cytosol" // "proton-transporting ATP synthase complex, catalytic core F(1)" // "membrane" // "plasma membrane" // "cell wall"	"ADP binding" // "adenyl ribonucleotide binding" // "proton-transporting ATP synthase activity, rotational mechanism" // "hydrolase activity" // "ATP binding" // "nucleotide binding"
"atpB"	"probable ATP synthase a chain"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "plasma membrane ATP synthesis coupled proton transport" // "ATP synthesis coupled proton transport" // "ion transport" // "ATP biosynthetic process"	"proton-transporting ATP synthase complex, coupling factor F(o)" // "integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"proton-transporting ATP synthase activity, rotational mechanism" // "proton transmembrane transporter activity"
"atpC"	"probable ATP synthase epsilon chain"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "growth" // "ATP synthesis coupled proton transport" // "ion transport" // "ATP biosynthetic process"	"cytosol" // "proton-transporting ATP synthase complex, catalytic core F(1)" // "membrane" // "plasma membrane" // "cell wall"	"ATP binding" // "proton-transporting ATP synthase activity, rotational mechanism"
"atpD"	"probable ATP synthase beta chain"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "ATP metabolic process" // "growth" // "proton transmembrane transport" // "ATP synthesis coupled proton transport" // "ion transport" // "ATP biosynthetic process"	"proton-transporting ATP synthase complex, catalytic core F(1)" // "membrane" // "plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"proton-transporting ATP synthase activity, rotational mechanism" // "hydrolase activity" // "ATP binding" // "nucleotide binding"
"atpE"	"probable ATP synthase C chain"	"UNCLASSIFIED"	""	"proton transmembrane transport" // "growth" // "ATP synthesis coupled proton transport" // "ion transport" // "ATP biosynthetic process"	"proton-transporting ATP synthase complex, coupling factor F(o)" // "proton-transporting two-sector ATPase complex, proton-transporting domain" // "integral component of membrane" // "membrane" // "plasma membrane"	"proton-transporting ATP synthase activity, rotational mechanism" // "proton transmembrane transporter activity" // "lipid binding"
"atpF"	"probable ATP synthase B chain"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "growth" // "ATP synthesis coupled proton transport" // "metabolic process" // "ion transport" // "ATP biosynthetic process"	"cytosol" // "proton-transporting ATP synthase complex, coupling factor F(o)" // "proton-transporting ATP synthase complex, catalytic core F(1)" // "integral component of membrane" // "membrane" // "plasma membrane" // "cell wall"	"proton-transporting ATP synthase activity, rotational mechanism" // "proton transmembrane transporter activity" // "catalytic activity"
